投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,チェンジアップ,123km/h,見逃し,山﨑 福也,今宮 健太,4-5,top:96px; left:72px;
2,ストレート,146km/h,ボール,山﨑 福也,今宮 健太,4-5,top:107px; left:8px;
3,チェンジアップ,121km/h,二飛  [泳ぎ、バットの先],山﨑 福也,今宮 健太,4-5,top:148px; left:29px;
1,ナックルカーブ,120km/h,一邪飛  [スライディングキャッチ、好プレイ],森 唯斗,紅林 弘太郎,4-5,top:96px; left:87px;
1,カットボール,141km/h,ボール,森 唯斗,頓宮 裕真,4-5,top:151px; left:13px;
2,カットボール,140km/h,ボール,森 唯斗,頓宮 裕真,4-5,top:22px; left:32px;
3,カットボール,144km/h,見逃し,森 唯斗,頓宮 裕真,4-5,top:72px; left:97px;
4,ナックルカーブ,120km/h,ボール,森 唯斗,頓宮 裕真,4-5,top:150px; left:97px;
5,カットボール,140km/h,左２  [ライン際],森 唯斗,頓宮 裕真,4-5,top:99px; left:58px;
1,カットボール,141km/h,ボール,森 唯斗,石岡 諒太,4-5,top:47px; left:17px;
2,カットボール,143km/h,見逃し,森 唯斗,石岡 諒太,4-5,top:96px; left:63px;
3,ナックルカーブ,-,二安  [引っかけ、ボテボテ、お手玉],森 唯斗,石岡 諒太,4-5,top:151px; left:100px;
1,ツーシーム,146km/h,ボール,森 唯斗,宗 佑磨,4-5,top:162px; left:113px;
2,ツーシーム,144km/h,ボール,森 唯斗,宗 佑磨,4-5,top:88px; left:120px;
3,ツーシーム,146km/h,ボール,森 唯斗,宗 佑磨,4-5,top:23px; left:122px;
4,カットボール,141km/h,一ゴロ  [挟まれる],森 唯斗,宗 佑磨,4-5,top:96px; left:56px;
1,カットボール,140km/h,見逃し,森 唯斗,中川 圭太,4-5,top:73px; left:72px;
2,カットボール,142km/h,ボール,森 唯斗,中川 圭太,4-5,top:20px; left:17px;
3,ツーシーム,-,ファウル  [観客どよめく],森 唯斗,中川 圭太,4-5,top:49px; left:72px;
4,フォーク,134km/h,空三振,森 唯斗,中川 圭太,4-5,top:165px; left:73px;
1,チェンジアップ,120km/h,ファウル,山﨑 福也,グラシアル,4-5,top:99px; left:69px;
2,ストレート,141km/h,ボール,山﨑 福也,グラシアル,4-5,top:75px; left:119px;
3,カーブ,94km/h,中安,山﨑 福也,グラシアル,4-5,top:102px; left:92px;
1,チェンジアップ,122km/h,中飛,山﨑 福也,野村 大樹,4-5,top:129px; left:39px;
1,ストレート,141km/h,見逃し,山﨑 福也,リチャード,4-5,top:124px; left:72px;
2,フォーク,131km/h,ボール  [ワンバウンド],山﨑 福也,リチャード,4-5,top:172px; left:122px;
3,チェンジアップ,122km/h,ファウル,山﨑 福也,リチャード,4-5,top:100px; left:70px;
4,チェンジアップ,123km/h,空三振,山﨑 福也,リチャード,4-5,top:150px; left:18px;
1,ストレート,137km/h,ボール  [ワンバウンド],山﨑 福也,甲斐 拓也,4-5,top:172px; left:52px;
2,カーブ,100km/h,ボール,山﨑 福也,甲斐 拓也,4-5,top:167px; left:63px;
3,チェンジアップ,123km/h,ボール,山﨑 福也,甲斐 拓也,4-5,top:14px; left:43px;
4,ストレート,143km/h,四球,山﨑 福也,甲斐 拓也,4-5,top:70px; left:16px;
1,フォーク,133km/h,空振り,山﨑 福也,野村 勇,4-5,top:166px; left:94px;
2,フォーク,133km/h,空振り,山﨑 福也,野村 勇,4-5,top:156px; left:59px;
3,ストレート,145km/h,ボール  [ハーフスイング],山﨑 福也,野村 勇,4-5,top:64px; left:117px;
4,フォーク,135km/h,遊安  [泳ぎ、送球がバウンド],山﨑 福也,野村 勇,4-5,top:150px; left:68px;
1,チェンジアップ,124km/h,ボール,山﨑 福也,佐藤 直樹,4-5,top:49px; left:12px;
2,チェンジアップ,124km/h,空振り,山﨑 福也,佐藤 直樹,4-5,top:88px; left:64px;
3,ストレート,147km/h,ファウル,山﨑 福也,佐藤 直樹,4-5,top:89px; left:104px;
4,ストレート,147km/h,空三振  [投手吼える、投手ガッツポーズ],山﨑 福也,佐藤 直樹,4-5,top:40px; left:99px;
1,ストレート,145km/h,ボール,津森 宥紀,吉田 正尚,4-5,top:16px; left:125px;
2,ストレート,146km/h,右安,津森 宥紀,吉田 正尚,4-5,top:76px; left:64px;
1,ストレート,148km/h,ファウル,津森 宥紀,杉本 裕太郎,4-5,top:104px; left:70px;
2,ストレート,148km/h,ボール,津森 宥紀,杉本 裕太郎,4-5,top:20px; left:125px;
3,スライダー,128km/h,ボール,津森 宥紀,杉本 裕太郎,4-5,top:159px; left:6px;
4,ストレート,148km/h,ボール,津森 宥紀,杉本 裕太郎,4-5,top:20px; left:28px;
5,ストレート,145km/h,ファウル,津森 宥紀,杉本 裕太郎,4-5,top:100px; left:113px;
6,ストレート,144km/h,四球,津森 宥紀,杉本 裕太郎,4-5,top:164px; left:34px;
1,ストレート,144km/h,ボール,津森 宥紀,マッカーシー,4-5,top:166px; left:12px;
2,ストレート,148km/h,見逃し,津森 宥紀,マッカーシー,4-5,top:75px; left:25px;
3,ストレート,147km/h,見逃し,津森 宥紀,マッカーシー,4-5,top:100px; left:24px;
4,ストレート,-,二併打  [詰り、間一髪],津森 宥紀,マッカーシー,4-5,top:44px; left:40px;
1,ストレート,146km/h,ボール,津森 宥紀,安達 了一,4-5,top:104px; left:12px;
2,ストレート,146km/h,見逃し,津森 宥紀,安達 了一,4-5,top:75px; left:44px;
3,ストレート,149km/h,ファウル,津森 宥紀,安達 了一,4-5,top:72px; left:93px;
4,ストレート,152km/h,ボール,津森 宥紀,安達 了一,4-5,top:120px; left:1px;
5,ストレート,151km/h,ファウル,津森 宥紀,安達 了一,4-5,top:41px; left:45px;
