投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,カットボール,139km/h,ボール,菅野 智之,石川 昂弥,0-1,top:81px; left:12px;
2,カットボール,140km/h,空振り,菅野 智之,石川 昂弥,0-1,top:105px; left:30px;
3,ストレート,148km/h,ファウル,菅野 智之,石川 昂弥,0-1,top:60px; left:43px;
4,スライダー,132km/h,右飛,菅野 智之,石川 昂弥,0-1,top:134px; left:53px;
1,カーブ,125km/h,投ゴロ,菅野 智之,京田 陽太,0-1,top:101px; left:94px;
1,ストレート,143km/h,ボール,菅野 智之,大野 雄大,0-1,top:81px; left:124px;
2,ストレート,146km/h,見逃し,菅野 智之,大野 雄大,0-1,top:49px; left:108px;
3,スライダー,130km/h,見逃し,菅野 智之,大野 雄大,0-1,top:99px; left:88px;
4,ストレート,147km/h,遊安  [ダイビングキャッチ、送球できず],菅野 智之,大野 雄大,0-1,top:66px; left:108px;
1,ツーシーム,146km/h,ボール,菅野 智之,大島 洋平,0-1,top:96px; left:122px;
2,スライダー,131km/h,見逃し,菅野 智之,大島 洋平,0-1,top:96px; left:102px;
3,フォーク,135km/h,空振り,菅野 智之,大島 洋平,0-1,top:159px; left:84px;
4,スライダー,135km/h,ファウル,菅野 智之,大島 洋平,0-1,top:127px; left:20px;
5,ストレート,148km/h,ボール,菅野 智之,大島 洋平,0-1,top:66px; left:11px;
6,フォーク,139km/h,右安,菅野 智之,大島 洋平,0-1,top:150px; left:97px;
1,スライダー,134km/h,見逃し,菅野 智之,岡林 勇希,1-1,top:84px; left:73px;
2,フォーク,137km/h,ボール,菅野 智之,岡林 勇希,1-1,top:164px; left:117px;
3,カットボール,141km/h,右安,菅野 智之,岡林 勇希,1-1,top:56px; left:33px;
1,スライダー,135km/h,空振り,菅野 智之,福留 孝介,1-1,top:106px; left:27px;
2,ツーシーム,146km/h,ボール,菅野 智之,福留 孝介,1-1,top:51px; left:130px;
3,ストレート,148km/h,ボール,菅野 智之,福留 孝介,1-1,top:31px; left:124px;
4,ツーシーム,148km/h,ボール,菅野 智之,福留 孝介,1-1,top:55px; left:126px;
5,スライダー,132km/h,見逃し  [ランエンドヒット、送球できず],菅野 智之,福留 孝介,1-1,top:130px; left:72px;
1,スライダー,135km/h,空振り,菅野 智之,福留 孝介,1-1,top:106px; left:27px;
2,ツーシーム,146km/h,ボール,菅野 智之,福留 孝介,1-1,top:51px; left:130px;
3,ストレート,148km/h,ボール,菅野 智之,福留 孝介,1-1,top:31px; left:124px;
4,ツーシーム,148km/h,ボール,菅野 智之,福留 孝介,1-1,top:55px; left:126px;
5,スライダー,132km/h,見逃し  [ランエンドヒット、送球できず],菅野 智之,福留 孝介,1-1,top:130px; left:72px;
6,ストレート,149km/h,ファウル,菅野 智之,福留 孝介,1-1,top:60px; left:68px;
7,ストレート,149km/h,ファウル,菅野 智之,福留 孝介,1-1,top:91px; left:109px;
8,スライダー,136km/h,空三振,菅野 智之,福留 孝介,1-1,top:104px; left:16px;
1,ストレート,146km/h,見逃し,大野 雄大,菅野 智之,1-1,top:56px; left:35px;
2,ツーシーム,139km/h,見逃し,大野 雄大,菅野 智之,1-1,top:88px; left:84px;
3,ストレート,148km/h,空三振,大野 雄大,菅野 智之,1-1,top:45px; left:11px;
1,スライダー,124km/h,ボール  [打者のけぞる],大野 雄大,吉川 尚輝,1-1,top:18px; left:24px;
2,カットボール,134km/h,ボール,大野 雄大,吉川 尚輝,1-1,top:16px; left:44px;
3,ストレート,147km/h,見逃し,大野 雄大,吉川 尚輝,1-1,top:64px; left:82px;
4,ツーシーム,138km/h,ファウル,大野 雄大,吉川 尚輝,1-1,top:136px; left:62px;
5,フォーク,135km/h,ボール  [打者のけぞる],大野 雄大,吉川 尚輝,1-1,top:19px; left:9px;
6,フォーク,136km/h,ファウル  [自打球],大野 雄大,吉川 尚輝,1-1,top:111px; left:64px;
7,フォーク,137km/h,四球,大野 雄大,吉川 尚輝,1-1,top:158px; left:120px;
1,カットボール,133km/h,ボール,大野 雄大,廣岡 大志,1-1,top:136px; left:124px;
2,ストレート,146km/h,一直  [野手の正面をつく],大野 雄大,廣岡 大志,1-1,top:69px; left:78px;
1,ツーシーム,149km/h,ボール,菅野 智之,ビシエド,2-1,top:67px; left:126px;
2,カットボール,140km/h,右本  [ポール際],菅野 智之,ビシエド,2-1,top:92px; left:36px;
1,ストレート,148km/h,ファウル,菅野 智之,木下 拓哉,2-1,top:27px; left:96px;
2,ストレート,145km/h,ボール,菅野 智之,木下 拓哉,2-1,top:48px; left:15px;
3,スライダー,132km/h,遊飛  [高々と舞い上がる],菅野 智之,木下 拓哉,2-1,top:92px; left:64px;
1,ツーシーム,147km/h,ボール,菅野 智之,阿部 寿樹,2-1,top:161px; left:120px;
2,ツーシーム,147km/h,ファウル,菅野 智之,阿部 寿樹,2-1,top:82px; left:108px;
3,ストレート,147km/h,ファウル,菅野 智之,阿部 寿樹,2-1,top:95px; left:39px;
4,ストレート,148km/h,ファウル,菅野 智之,阿部 寿樹,2-1,top:100px; left:117px;
5,フォーク,138km/h,ボール  [ハーフスイング],菅野 智之,阿部 寿樹,2-1,top:157px; left:112px;
6,スライダー,134km/h,空三振,菅野 智之,阿部 寿樹,2-1,top:87px; left:14px;
1,スライダー,134km/h,ボール,菅野 智之,石川 昂弥,2-1,top:154px; left:3px;
